cellLine	Treatment	Replicate	Time	Confluency
PC3-F4	HBSS	3	10	1.089052288
PC3-F4	HBSS	3	11	1.136437908
PC3-F4	HBSS	3	12	1.157271242
PC3-F4	HBSS	3	13	1.178104575
PC3-F4	HBSS	3	14	1.157271242
PC3-F4	HBSS	3	15	1.197712418
PC3-F4	HBSS	3	16	1.246323529
PC3-F4	HBSS	3	17	1.197712418
PC3-F4	HBSS	3	18	1.197712418
PC3-F4	HBSS	3	19	1.265931373
PC3-F4	HBSS	3	20	1.225490196
PC3-F4	HBSS	3	21	1.239379085
PC3-F4	HBSS	3	22	1.239379085
PC3-F4	HBSS	3	23	1.265931373
PC3-F4	HBSS	3	24	1.265931373
PC3-F4	HBSS	3	25	1.246323529
PC3-F4	HBSS	3	26	1.245098039
PC3-F4	HBSS	3	27	1.286764706
PC3-F4	HBSS	3	28	1.286764706
PC3-F4	HBSS	3	29	1.265931373
PC3-F4	HBSS	3	30	1.238153595
PC3-F4	HBSS	3	31	1.286764706
PC3-F4	HBSS	3	32	1.285539216
PC3-F4	HBSS	3	33	1.285539216
PC3-F4	HBSS	3	34	1.285539216
PC3-F4	HBSS	3	35	1.285539216
PC3-F4	HBSS	3	36	1.286764706
PC3-F4	HBSS	3	37	1.286764706
PC3-F4	HBSS	3	38	1.306372549
PC3-F4	HBSS	3	39	1.265931373
PC3-F4	HBSS	3	40	1.285539216
PC3-F4	HBSS	3	41	1.285539216
PC3-F4	HBSS	3	42	1.327205882
PC3-F4	HBSS	3	43	1.305147059
PC3-F4	HBSS	3	44	1.306372549
PC3-F4	HBSS	3	45	1.305147059
PC3-F4	HBSS	3	46	1.306372549
PC3-F4	HBSS	3	47	1.313316993
PC3-Mock	RPMI	1	0	1
PC3-Mock	RPMI	1	1	1.112393162
PC3-Mock	RPMI	1	2	1.138034188
PC3-Mock	RPMI	1	3	1.171367521
PC3-Mock	RPMI	1	4	1.138034188
PC3-Mock	RPMI	1	5	1.138034188
PC3-Mock	RPMI	1	6	1.138034188
PC3-Mock	RPMI	1	7	1.138034188
PC3-Mock	RPMI	1	8	1.171367521
PC3-Mock	RPMI	1	9	1.171367521
PC3-Mock	RPMI	1	10	1.199145299
PC3-Mock	RPMI	1	11	1.171367521
PC3-Mock	RPMI	1	12	1.171367521
PC3-Mock	RPMI	1	13	1.224786325
PC3-Mock	RPMI	1	14	1.224786325
PC3-Mock	RPMI	1	15	1.224786325
PC3-Mock	RPMI	1	16	1.224786325
PC3-Mock	RPMI	1	17	1.311538462
PC3-Mock	RPMI	1	18	1.311538462
PC3-Mock	RPMI	1	19	1.311538462
PC3-Mock	RPMI	1	20	1.311538462
PC3-Mock	RPMI	1	21	1.337179487
PC3-Mock	RPMI	1	22	1.337179487
PC3-Mock	RPMI	1	23	1.370512821
PC3-Mock	RPMI	1	24	1.398290598
PC3-Mock	RPMI	1	25	1.398290598
PC3-Mock	RPMI	1	26	1.398290598
PC3-Mock	RPMI	1	27	1.423931624
PC3-Mock	RPMI	1	28	1.451709402
PC3-Mock	RPMI	1	29	1.457264957
PC3-Mock	RPMI	1	30	1.485042735
PC3-Mock	RPMI	1	31	1.485042735
PC3-Mock	RPMI	1	32	1.510683761
PC3-Mock	RPMI	1	33	1.510683761
PC3-Mock	RPMI	1	34	1.538461538
PC3-Mock	RPMI	1	35	1.571794872
PC3-Mock	RPMI	1	36	1.597435897
PC3-Mock	RPMI	1	37	1.597435897
PC3-Mock	RPMI	1	38	1.597435897
PC3-Mock	RPMI	1	39	1.650854701
PC3-Mock	RPMI	1	40	1.650854701
PC3-Mock	RPMI	1	41	1.650854701
PC3-Mock	RPMI	1	42	1.684188034
PC3-Mock	RPMI	1	43	1.684188034
PC3-Mock	RPMI	1	44	1.737606838
PC3-Mock	RPMI	1	45	1.737606838
PC3-Mock	RPMI	1	46	1.737606838
PC3-Mock	RPMI	1	47	1.791025641
PC3-Mock	RPMI	2	0	1
PC3-Mock	RPMI	2	1	1.034210526
PC3-Mock	RPMI	2	2	1.06624714
PC3-Mock	RPMI	2	3	1.082913806
PC3-Mock	RPMI	2	4	1.068421053
PC3-Mock	RPMI	2	5	1.051754386
PC3-Mock	RPMI	2	6	1.069298246
PC3-Mock	RPMI	2	7	1.051754386
PC3-Mock	RPMI	2	8	1.100457666
PC3-Mock	RPMI	2	9	1.100457666
PC3-Mock	RPMI	2	10	1.131617086
PC3-Mock	RPMI	2	11	1.134668192
PC3-Mock	RPMI	2	12	1.100457666
PC3-Mock	RPMI	2	13	1.165827613
PC3-Mock	RPMI	2	14	1.149160946
PC3-Mock	RPMI	2	15	1.197864226
PC3-Mock	RPMI	2	16	1.200038139
PC3-Mock	RPMI	2	17	1.197864226
PC3-Mock	RPMI	2	18	1.232074752
PC3-Mock	RPMI	2	19	1.263234172
PC3-Mock	RPMI	2	20	1.246567506
PC3-Mock	RPMI	2	21	1.280778032
PC3-Mock	RPMI	2	22	1.280778032
PC3-Mock	RPMI	2	23	1.295270786
PC3-Mock	RPMI	2	24	1.295270786
PC3-Mock	RPMI	2	25	1.309763539
PC3-Mock	RPMI	2	26	1.343974066
PC3-Mock	RPMI	2	27	1.360640732
PC3-Mock	RPMI	2	28	1.378184592
PC3-Mock	RPMI	2	29	1.392677346
PC3-Mock	RPMI	2	30	1.423836766
PC3-Mock	RPMI	2	31	1.426887872
PC3-Mock	RPMI	2	32	1.458924485
PC3-Mock	RPMI	2	33	1.458047292
PC3-Mock	RPMI	2	34	1.490083905
PC3-Mock	RPMI	2	35	1.507627765
PC3-Mock	RPMI	2	36	1.540961098
PC3-Mock	RPMI	2	37	1.556331045
PC3-Mock	RPMI	2	38	1.556331045
PC3-Mock	RPMI	2	39	1.587490465
PC3-Mock	RPMI	2	40	1.605034325
PC3-Mock	RPMI	2	41	1.619527079
PC3-Mock	RPMI	2	42	1.653737605
PC3-Mock	RPMI	2	43	1.684897025
PC3-Mock	RPMI	2	44	1.702440885
PC3-Mock	RPMI	2	45	1.716933638
PC3-Mock	RPMI	2	46	1.785354691
PC3-Mock	RPMI	2	47	1.817391304
PC3-Mock	RPMI	3	0	1
PC3-Mock	RPMI	3	1	1.090239234
PC3-Mock	RPMI	3	2	1.076905901
PC3-Mock	RPMI	3	3	1.081116427
PC3-Mock	RPMI	3	4	1.076905901
PC3-Mock	RPMI	3	5	1.063572568
PC3-Mock	RPMI	3	6	1.063572568
PC3-Mock	RPMI	3	7	1.109601276
PC3-Mock	RPMI	3	8	1.063572568
PC3-Mock	RPMI	3	9	1.096267943
PC3-Mock	RPMI	3	10	1.109601276
PC3-Mock	RPMI	3	11	1.094449761
PC3-Mock	RPMI	3	12	1.094449761
PC3-Mock	RPMI	3	13	1.127145136
PC3-Mock	RPMI	3	14	1.122934609
PC3-Mock	RPMI	3	15	1.140478469
PC3-Mock	RPMI	3	16	1.168963317
PC3-Mock	RPMI	3	17	1.184114833
PC3-Mock	RPMI	3	18	1.184114833
PC3-Mock	RPMI	3	19	1.201658692
PC3-Mock	RPMI	3	20	1.230143541
PC3-Mock	RPMI	3	21	1.245295056
PC3-Mock	RPMI	3	22	1.261020734
PC3-Mock	RPMI	3	23	1.278564593
PC3-Mock	RPMI	3	24	1.278564593
PC3-Mock	RPMI	3	25	1.278564593
PC3-Mock	RPMI	3	26	1.307049442
PC3-Mock	RPMI	3	27	1.320382775
PC3-Mock	RPMI	3	28	1.337926635
PC3-Mock	RPMI	3	29	1.35307815
PC3-Mock	RPMI	3	30	1.366411483
PC3-Mock	RPMI	3	31	1.366411483
PC3-Mock	RPMI	3	32	1.383955343
PC3-Mock	RPMI	3	33	1.414258373
PC3-Mock	RPMI	3	34	1.445135566
PC3-Mock	RPMI	3	35	1.445135566
PC3-Mock	RPMI	3	36	1.4584689
PC3-Mock	RPMI	3	37	1.491164274
PC3-Mock	RPMI	3	38	1.504497608
PC3-Mock	RPMI	3	39	1.519649123
PC3-Mock	RPMI	3	40	1.535374801
PC3-Mock	RPMI	3	41	1.535374801
PC3-Mock	RPMI	3	42	1.596555024
PC3-Mock	RPMI	3	43	1.594736842
PC3-Mock	RPMI	3	44	1.642583732
PC3-Mock	RPMI	3	45	1.64076555
PC3-Mock	RPMI	3	46	1.673460925
PC3-Mock	RPMI	3	47	1.701945774
PC3-F4	RPMI	1	0	1
PC3-F4	RPMI	1	1	1.055670221
PC3-F4	RPMI	1	2	1.055670221
PC3-F4	RPMI	1	3	1.054580897
PC3-F4	RPMI	1	4	1.054580897
PC3-F4	RPMI	1	5	1.036062378
PC3-F4	RPMI	1	6	1.091732599
PC3-F4	RPMI	1	7	1.053606238
PC3-F4	RPMI	1	8	1.091732599
PC3-F4	RPMI	1	9	1.091732599
PC3-F4	RPMI	1	10	1.091732599
